language,id,text,file,node,lineNumber,lock,comment
es,line:00dfd91,Aparecen por todos lados.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,113,59a0b13b,
es,line:0f49077,Como cucarachas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,114,fe77a9fd,Line metadata: lastline
es,line:02e1156,Ella… tampoco tiene alas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,115,cf801a7b,
es,line:03b5873,Esto ni siquiera me queda.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Poleron,117,efeb3921,
es,line:03b896d,Su espada.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,125,2e2848bd,
es,line:04de658,Digna de una guerrera.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,126,95144da3,
es,line:05cc74d,…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,127,b4935894,
es,line:07fcc27,Te atraviesa cuando no tiene nada mejor que hacer.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,128,9bf89b83,
es,line:0519a62,Estoy cansada de pelear contra ella.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,129,e2538d7b,
es,line:032a2d6,Ella me engaña.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,130,31074627,
es,line:011e75d,Ella me traiciona.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,131,0b79c8ce,
es,line:02c8484,Y yo…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,132,c144b6b1,
es,line:047b984,Me quedo sola.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,133,bce469ed,
es,line:08c6310,No tengo fuerzas…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,134,0ac419cc,
es,line:09304c8,Ni pensamientos…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,135,9902a860,
es,line:0757ea9,Ni opciones.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,136,f385f3fe,Line metadata: lastline
es,line:02918dd,Ella no me ama.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,137,d784520d,
es,line:04b34fc,Ella nunca me amó.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Sword,138,a89cadba,
es,line:0273666,Mi cama…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Bed,146,cf184812,
es,line:062cb1b,El olor esta pegado…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Bed,147,ce289edf,
es,line:083c221,Aún me excita.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Bed,148,cc86d144,
es,line:0812827,Me revuelve el estomago.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Bed,149,2b8fe30c,
es,line:08a93fa,Al lado tuyo…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,156,b8059b28,
es,line:055584e,Esa soy yo?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,157,ba763909,
es,line:02dbc7e,Siempre me dices que son “accidentes”.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,158,77384cd3,
es,line:02215ec,¿Así es como me dices a mi?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,159,c36362a0,
es,line:0b1d24f,¿Soy otro de tus accidentes?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,160,d4db2865,
es,line:0b41013,Tus pequeños errores que todos cometemos.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,161,bd467f72,
es,line:0ffec8a,"Entendibles, pequeños, poco importantes.",D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Polaroid,162,60f0cf4d,
es,line:007733d,Oh!,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Nude,169,56723edc,
es,line:0e72bb0,"Bacán, y ahora me reconozco…",D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,Nude,170,d4b3daa3,
es,line:06d72e8,Esta a medias.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,177,99406c4f,
es,line:06a7086,Podría terminarla.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,178,8b1792b8,
es,line:0fbb764,"Decirle que la amo, que la adoro.",D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,179,4ace4ac9,
es,line:0fb3db7,Que me pone enferma de la cabeza y sin ella no me queda nada.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,180,45fe9e4a,
es,line:0559d64,¿Que es extraordinaria con la lengua?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,181,d2c66a48,
es,line:0b53a4a,…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,182,b4935894,
es,line:00e9ec8,tsk.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,183,232a4c3f,
es,line:0616d38,Mejor no.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,LoveLetter,184,984ba58f,
es,line:05d9727,Estoy lista para verme a mi misma.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorReminder,192,95f188bc,
es,line:0cb5332,Ni siquiera me reconozco a mi misma…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorStart,205,80498416,
es,line:08a34d6,Esa soy yo?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorMid,212,ba763909,
es,line:0e78b6c,No es suficiente.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorMid,213,c2da4dc8,
es,line:0106d17,Aún me faltan cosas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorMid,214,1ea6cdbd,
es,line:0aa7863,Tuve suficiente de este circo inútil.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,221,a29654cb,
es,line:0061824,Un tira y afloja sin sentido.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,222,84812004,
es,line:068c0b7,¿Para qué?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,223,4fd616d8,
es,line:06e6ece,…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,224,b4935894,
es,line:0d3a6c2,Termine.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,225,5f421b0b,
es,line:0dd5839,Terminamos?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,226,f60b5da7,
es,line:0467253,Según quienes...,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,227,cee81ead,
es,line:0e5cf87,Un trato entro yo y nadie más.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,228,da30fa23,
es,line:0045c60,Que termina ahora.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleGood,229,207ad88d,
es,line:0d15cce,Mírate a la cara.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,236,017ed33a,
es,line:069651a,Vas a esconderte?,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,237,27868c39,
es,line:08cd569,Pudrirte en auto-desprecio y lastima…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,238,23108b56,
es,line:069fc7d,Como un animal herido.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,239,2a8a811d,
es,line:0d8b908,La vergüenza en tu cara…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,240,a1d62cc2,
es,line:00d9bf4,Me pone mas enferma que cualquier rastro de sexo podría.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,241,9cb20f85,
es,line:0197381,Mi ira…,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,242,20db7634,
es,line:09c1408,Es un precio que se paga en celos y se ahoga entre carretas eternas.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,243,d10e892b,
es,line:0a8b73a,Control.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,244,9112d23f,
es,line:07fdf9d,Control y venganza.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,245,abdd6217,
es,line:04a2725,Tienen un sabor delicioso.,D:\Shit\Work\FishbowlTeam\LaEspada\La Espada\la-espada\la-espada\Assets\Dialogues\Objects.yarn,MirrorFinaleNegation,246,5972e0d1,
